Book Name,Author,Rating,Rating_Filled,Number of Reviews,Log Reviews,Price,Description,Genre,Ranks and Genre,Audible Rank,Listening Time,Listening Time Minutes,Data_Source,Has_Description,Has_Genre,Has_Listening_Time,Book_Name_Key,Author_Key
"13 Things Mentally Strong Parents Don't Do: Raising Self-Assured Children and Training Their Brains for a Life of Happiness, Meaning, and Success",Amy Morin,4.6,4.6,150.0,5.017279836814924,12356.0,,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,"13 things mentally strong parents don't do: raising self-assured children and training their brains for a life of happiness, meaning, and success",amy morin
"13 Things Mentally Strong People Don't Do: Take Back Your Power, Embrace Change, Face Your Fears, and Train Your Brain for Happiness and Success",Amy Morin,4.6,4.6,1365.0,7.2196420401307355,10378.0,"Everyone knows that regular exercise and weight training lead to physical strength. But how do we strengthen ourselves mentally for the truly tough times? And what should we do when we face these challenges? Or as psychotherapist Amy Morin asks, what should we avoid when we encounter adversity? Through her years counseling others and her own experiences navigating personal loss, Morin realized it is often the habits we cannot break that are holding us back from true success and happiness. Indulging in self-pity or agonizing over things beyond our control, obsessing over past events, resenting the achievements of others, or expecting immediate positive results all hold us back.",Business Motivation & Self-Improvement | Personal Success | Analysis & Strategy,",#1,977 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#59 in Business Motivation & Self-Improvement,#291 in Personal Success,#3,126 in Analysis & Strategy",1977.0,6 hours and 36 minutes,396.0,Both,1,1,1,"13 things mentally strong people don't do: take back your power, embrace change, face your fears, and train your brain for happiness and success",amy morin
14,Peter Clines,4.3,4.3,811.0,6.699500340161678,836.0,,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,14,peter clines
"15 Secrets Successful People Know About Time Management: The Productivity Habits of 7 Billionaires, 13 Olympic Athletes, 29 Straight-A Students, and 239 Entrepreneurs",Kevin Kruse,4.5,4.5,465.0,6.144185634125646,501.0,"New York Times best-selling author Kevin Kruse presents the remarkable findings of his study of ultraproductive people. Based on survey research and interviews with billionaires, Olympic athletes, straight-A students, and over 200 entrepreneurs - including Mark Cuban, Kevin Harrington, James Altucher, John Lee Dumas, Pat Flynn, Grant Cardone, and Lewis Howes - Kruse answers the question: What are the secrets to extreme productivity?",Time Management & Productivity | Business Careers | Personal Success,",#4,691 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#51 in Time Management & Productivity,#132 in Business Careers,#610 in Personal Success",4691.0,3 hours and 10 minutes,190.0,Both,1,1,1,"15 secrets successful people know about time management: the productivity habits of 7 billionaires, 13 olympic athletes, 29 straight-a students, and 239 entrepreneurs",kevin kruse
168 Hours: You Have More Time Than You Think,Laura Vanderkam,4.3,4.3,196.0,5.2832037287379885,844.0,"There are 168 hours in a week. This book is about where the time really goes, and how we can all use it better. It's an unquestioned truth of modern life: we are starved for time. With the rise of two-income families, extreme jobs, and 24/7 connectivity, life is so frenzied we can barely find time to breathe. We tell ourselves we'd like to read more, get to the gym regularly, try new hobbies, and accomplish all kinds of goals. But then we give up because there just aren't enough hours to do it all. Or else, if we don't make excuses, we make sacrifices. To get ahead at work we spend less time with our spouses. To carve out more family time, we put off getting in shape. To train for a marathon, we cut back on sleep. There has to be a better way - and Laura Vanderkam has found one.",Time Management | Time Management & Productivity | Personal Success,",#348 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Time Management,#10 in Time Management & Productivity,#73 in Personal Success",348.0,7 hours and 48 minutes,468.0,Both,1,1,1,168 hours: you have more time than you think,laura vanderkam
1962: The War That Wasn't: The Definitive Account of the Clash Between India and China,Shiv Kunal Verma,4.3,4.3,172.0,5.153291594497779,1171.0,,Unknown,Unknown,,Unknown,,Both,0,0,0,1962: the war that wasn't: the definitive account of the clash between india and china,shiv kunal verma
1984,George Orwell,4.5,4.5,17140.0,9.749228533507058,797.0,"George Orwell's nightmare vision of a dystopian world has become more apt in these modern, chaotic times. Casting a pall of oppressive dread from the very first sentence, this classic audiobook takes hold of your imagination and stays with you long after the last four words are uttered.",Dystopian Science Fiction | Political Fiction | Literary Fiction,",#130 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Dystopian Science Fiction,#1 in Political Fiction,#4 in Literary Fiction",130.0,12 hours and 19 minutes,739.0,Both,1,1,1,1984,george orwell
1991: How P. V. Narasimha Rao Made History,Sanjaya Baru,4.2,4.2,182.0,5.209486152841421,668.0,"P. V. Narasimha Rao (or PV, as he was popularly known) has been widely praised for enabling the economic reforms that transformed the country in 1991. From the vantage point of his long personal and professional association with the former prime minister, best-selling author Sanjaya Baru shows how PV's impact on the nation's fortunes went way beyond the economy.",Biographies of Presidents & Heads of State | Economic History | Biographies of Politicians,",#803 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Biographies of Presidents & Heads of State,#4 in Economic History (Audible Audiobooks & Originals),#5 in Biographies of Politicians",803.0,5 hours and 25 minutes,325.0,Both,1,1,1,1991: how p. v. narasimha rao made history,sanjaya baru
1Q84,Haruki Murakami,4.3,4.3,1437.0,7.271008538280992,1138.0,,Unknown,Unknown,,Unknown,,Both,0,0,0,1q84,haruki murakami
2 States: The Story of My Marriage,Chetan Bhagat,4.4,4.4,1077.0,6.982862751468942,568.0,Love marriages around the world are simple: Boy loves girl. Girl loves boy. They get married.,Indian Literature | Romance | Anthologies (Books),",#2,907 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#27 in Indian Literature (Audible Audiobooks & Originals),#176 in Romance (Audible Audiobooks & Originals),#1,056 in Anthologies (Books)",2907.0,8 hours and 23 minutes,503.0,Both,1,1,1,2 states: the story of my marriage,chetan bhagat
