Book Name,Author,Rating,Rating_Filled,Number of Reviews,Log Reviews,Price,Description,Genre,Ranks and Genre,Audible Rank,Listening Time,Listening Time Minutes,Data_Source,Has_Description,Has_Genre,Has_Listening_Time,Book_Name_Key,Author_Key,Review_Group,Description_Length
Anne of Green Gables (BBC Children's Classics),L. M. Montgomery,4.6,4.6,3923.0,8.274866820685254,410.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,anne of green gables (bbc children's classics),l. m. montgomery,1001+,0
"Annihilation: Southern Reach Trilogy, Book 1",Jeff VanderMeer,3.9,3.9,2151.0,7.674152921281675,5709.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,"annihilation: southern reach trilogy, book 1",jeff vandermeer,1001+,0
Apke Avchetan Man Ki Shakti [The Power of Your Subconscious Mind],Dr. Joseph Murphy,4.5,4.5,2296.0,7.739359202689098,668.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,apke avchetan man ki shakti [the power of your subconscious mind],dr. joseph murphy,1001+,0
Armada,Ernest Cline,3.9,3.9,2795.0,7.935945103353701,888.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,armada,ernest cline,1001+,0
Around the World in Eighty Days (AmazonClassics Edition),Jules Verne,4.4,4.4,1841.0,7.518607216815252,668.0,"Pragmatic gambler Phileas Fogg has made a gentlemanly wager to the members of his exclusive club: that he can circle the world in just eighty days, right down to the minute. Fetching his newly appointed French valet, Fogg embarks on a fabulous journey across land and sea - by steamer, rail, and elephant - to win the bet of a lifetime.",Classic Literature | Literary Fiction | Classic Fiction (Books),",#3,447 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#180 in Classic Literature,#200 in Literary Fiction,#3,306 in Classic Fiction (Books)",3447.0,6 hours and 43 minutes,403.0,Advanced Only,1,1,1,around the world in eighty days (amazonclassics edition),jules verne,1001+,336
Art of Seduction: An Indispensible Primer on the Ultimate Form of Power,Robert Greene,4.5,4.5,1792.0,7.491645473605133,820.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,art of seduction: an indispensible primer on the ultimate form of power,robert greene,1001+,0
Artemis,Andy Weir,4.1,4.1,3093.0,8.037220031133012,1003.0,The best-selling author of The Martian returns with an irresistible new near-future thriller - a heist story set on the moon.,"Science Fiction (Books) | Fantasy (Books) | Crime, Thriller & Mystery (Books)",",#901 in Science Fiction (Books),#2,455 in Fantasy (Books),#5,577 in Crime, Thriller & Mystery (Books)",,8 hours and 57 minutes,537.0,Both,1,1,1,artemis,andy weir,1001+,125
As a Man Thinketh,James Allen,4.4,4.4,4840.0,8.484876589939695,132.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,as a man thinketh,james allen,1001+,0
"Ask Again, Yes",Mary Beth Keane,4.3,4.3,1844.0,7.520234556474628,888.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,"ask again, yes",mary beth keane,1001+,0
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.6,4.6,7315.0,8.897819009510757,585.0,What is the nature of space and time? How do we fit within the universe? How does the universe fit within us? There's no better guide through these mind-expanding questions than acclaimed astrophysicist and best-selling author Neil deGrasse Tyson.,Physics | Astronomy | Astronomy (Books),",#203 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Physics (Audible Audiobooks & Originals),#3 in Astronomy (Audible Audiobooks & Originals),#19 in Astronomy (Books)",203.0,3 hours and 41 minutes,221.0,Both,1,1,1,astrophysics for people in a hurry,neil degrasse tyson,1001+,247
