Genre_List,Average_Rating,Book_Count,Total_Reviews
Emigration & Immigration Studies,4.8,1,3504.0
Emotions,4.525,4,2232.0
Encyclopaedias & Reference Works (Books),4.5,1,281.0
Engineering & Technology (Books),4.75,2,6503.0
English History,4.5,3,723.0
English Language Learning,4.083333333333333,13,995.0
"English, Irish, Scottish & Welsh Literature",4.275,5,2964.0
Entertainment & Performing Arts Business Aspects,4.7,1,174.0
Entrepreneurship,4.495121951219512,41,29917.0
Environment (Books),4.6,1,1804.0
Environmental Conservation,4.533333333333333,3,786.0
Environmental Economics,4.5,1,1276.0
Environmental Public Policy,4.55,2,1550.0
Environmentalists & Naturalists Biographies,4.6,1,1804.0
Epic Fantasy,4.535714285714286,14,34935.0
Epic Fantasy for Teens,4.6,1,2456.0
Epic Poetry,4.45,2,284.0
Epistemology,4.6,1,529.0
Epistolary Fiction,4.4,1,1558.0
Erotic Fiction,4.0,8,1316.0
Erotic Romance,4.279999999999999,5,10862.0
Espionage Thrillers,4.285714285714286,7,9369.0
Essays (Books),4.4399999999999995,10,6054.0
Ethics & Morality Philosophy,4.5375,8,12160.0
Etiquette Guides,4.0,1,146.0
European History,4.6,3,921.0
European History (Books),4.65,3,2894.0
Evolution,4.5,6,7520.0
Evolutionary Psychology,4.7,1,1547.0
Exercise & Fitness,4.5,7,5267.0
Expeditions & Discoveries,4.7,1,424.0
Expeditions & Discoveries (Books),4.7,1,424.0
Exploring Asia Fiction for Children,4.7,2,441.0
Exploring United States Nonfiction for Children,4.5,1,38.0
Exploring the World for Children,4.5,1,24.0
Extreme Sports,4.4,1,551.0
Fairy Tale Adaptations for Children,4.9,1,169.0
Fairy Tale Collections & Anthologies for Children,4.6,5,3712.0
Fairy Tale Fantasy,4.5,16,10740.0
Fairy Tales for Teens,4.3,1,71.0
"Fairy Tales, Folk Tales & Myths for Children",4.164285714285714,16,10830.0
Family & Relationships,4.576923076923077,28,42152.0
Family Life Fiction,4.378260869565217,23,80211.0
Family Life Fiction for Children,4.67,10,50179.0
Fantasy,4.58,5,12894.0
Fantasy & Magic for Children,4.626666666666667,16,40065.0
Fantasy (Books),4.519230769230769,27,60660.0
Fantasy Dramatisations,4.733333333333333,3,1707.0
"Fantasy Movie, TV & Video Game Tie-Ins",4.4,1,10368.0
Fantasy Romance,4.619999999999999,5,27030.0
Fantasy Romance for Teens,4.6,1,33.0
Fantasy for Teens,4.45,2,6255.0
Farm Animals Fiction for Children,4.6,1,1572.0
Fascism,4.266666666666667,6,1911.0
Fatherhood,4.266666666666667,3,1802.0
Fiction Chapter Books for Children,,1,0.0
Fiction Classics for Children,4.678571428571429,22,18827.0
Fiction Sagas,4.35625,16,46097.0
Fiction Short Stories,4.3307692307692305,26,6548.0
Fiction on Adoption for Children,4.7,1,2250.0
Fiction on Boys for Children,4.6,3,6368.0
Fiction on Bullying for Children,4.7,1,2250.0
Fiction on Dating & Sex for Teens,4.566666666666666,3,11723.0
Fiction on Death & Dying for Teens,4.45,2,50981.0
Fiction on Depression for Teens,4.7,1,2841.0
Fiction on Family for Teens,4.4,1,2655.0
Fiction on Friendship for Children,4.725,4,26263.0
Fiction on Friendship for Teens,4.475,4,17005.0
Fiction on Girls for Children,4.575,4,3072.0
Fiction on Illness & Health Problems for Teens,4.5,1,43869.0
Fiction on Loners & Outcasts for Teens,4.4,1,2655.0
Fiction on Mental Illness for Teens,4.550000000000001,2,6391.0
Fiction on Orphans & Foster Homes for Children,4.7,4,18282.0
Fiction on Parents for Children,4.566666666666666,3,3339.0
Fiction on Racism & Discrimination for Children,4.6,1,84.0
Fiction on Racism & Discrimination for Teens,4.6,1,16.0
Fiction on Runaways for Teens,4.3,1,6193.0
Fiction on Siblings for Children,4.66,5,7570.0
Fiction on Suicide for Teens,4.7,1,2841.0
Fiction on Violence for Children,4.7,1,441.0
Film & TV,4.2,2,1285.0
Film Direction & Production,4.4,1,76.0
Film History & Criticism,4.7,1,644.0
First Contact Science Fiction,4.366666666666666,3,6960.0
Fitness Stretching,4.8,1,798.0
Fitness Workouts,4.633333333333333,3,5901.0
Folklore & Mythology Studies,4.5,3,1819.0
"Food, Drink & Entertaining (Books)",4.4799999999999995,5,8181.0
Football,4.7,1,316.0
Forecasting & Strategic Planning,4.493548387096775,32,15105.0
Foxes & Wolves Fiction for Children,4.4,1,4.0
Free Enterprise,4.65,4,3082.0
French Language Learning,3.0,2,2.0
French Literature,4.4,2,2566.0
Freudian Theory,4.32,5,2212.0
Friendship Fiction,4.5,1,520.0
Future Studies,4.58,5,6112.0
Games & Quizzes (Books),4.4,1,890.0
Gardening & Landscape Design,4.0,1,125.0
Gardening Techniques,4.8,1,277.0
Gastrointestinal Diseases,4.699999999999999,2,2123.0
Gastronomy,4.4,2,1015.0
Gender Issues,4.6,2,101.0
Genetic Diseases,4.6,1,1574.0
Genetics,4.55,2,2290.0
Geology,4.550000000000001,2,1170.0
Geopolitics,4.65,2,1246.0
German History,4.6,2,2249.0
German Language Learning,5.0,1,1.0
Ghost Horror Fiction,4.0,1,1323.0
Globalisation,4.533333333333333,3,1756.0
Globalisation Money & Finance,4.45,2,1052.0
Gothic Horror Fiction,4.4,1,334.0
Graduate School Test Preparation,4.5,1,1502.0
Graphic Design,4.1,1,110.0
Graphics & Design,4.7,1,680.0
Greek & Roman Fairy Tales for Children,4.7,3,11902.0
Greek & Roman Philosophy,4.5,4,4269.0
Grief & Loss,4.4714285714285715,7,29002.0
Hard Science Fiction,4.675,4,38944.0
Hard-Boiled Mysteries,4.6,2,2285.0
Healthy Living & Wellness,4.430000000000001,32,42701.0
Higher & Continuing Education,4.5,1,198.0
Hindu Biographies,4.5,2,8.0
Hindu Rituals & Practices,4.8,1,627.0
Hindu Sacred Writings,4.55,6,2284.0
Hinduism,4.2105263157894735,20,4930.0
Hinduism (Books),4.4,14,3738.0
Hinduism for Children,4.5,1,484.0
Historical Action & Adventure for Children,4.75,4,588.0
Historical Biographies,4.473333333333333,16,16686.0
Historical Biographies for Children,4.8,1,387.0
Historical Fantasy,4.4799999999999995,5,28305.0
Historical Fantasy for Teens,4.566666666666666,3,1032.0
Historical Fiction,4.339583333333334,48,101372.0
Historical Fiction (Books),4.20952380952381,22,43507.0
Historical Fiction for Children,4.9,1,169.0
Historical Fiction for Teens,4.6,4,6058.0
