Book Name,Author,Rating,Rating_Filled,Number of Reviews,Log Reviews,Price,Description,Genre,Ranks and Genre,Audible Rank,Listening Time,Listening Time Minutes,Data_Source,Has_Description,Has_Genre,Has_Listening_Time,Book_Name_Key,Author_Key,Review_Group
Winning Minds: Secrets from the Language of Leadership,Simon Lancaster,4.7,4.7,35.0,3.58351893845611,569.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,winning minds: secrets from the language of leadership,simon lancaster,0-50
Death on the Nile,Agatha Christie,4.7,4.7,33.0,3.5263605246161616,615.0,John Moffatt stars as the famous Belgian detective in this BBC Radio 4 full-cast dramatisation of one of Christie's most popular novels.,Unknown,Unknown,,Unknown,,Both,1,0,0,death on the nile,agatha christie,0-50
"Geronimo Stilton #17: Watch Your Whiskers, Stilton! and Geronimo Stilton #18: Shipwreck on Pirates Island",Geronimo Stilton,4.7,4.7,33.0,3.5263605246161616,468.0,Unknown,"Mice, Hamsters, Guinea Pigs & Squirrels Fiction for Children | Animal Action & Adventure for Children | Animal Fiction for Children",",#2,133 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Mice, Hamsters, Guinea Pigs & Squirrels Fiction for Children,#4 in Animal Action & Adventure for Children,#22 in Animal Fiction for Children",2133.0,2 hours and 28 minutes,148.0,Both,0,1,1,"geronimo stilton #17: watch your whiskers, stilton! and geronimo stilton #18: shipwreck on pirates island",geronimo stilton,0-50
Radical Hope: 10 Key Healing Factors from Exceptional Survivors of Cancer & Other Diseases,Kelly A. Turner PhD,4.7,4.7,33.0,3.5263605246161616,750.0,"Following the publication of the New York Times best-selling Radical Remission, researcher Kelly A. Turner, Ph.D., has collected hundreds of new cases of radical remissions - from cancer and now also other diseases. Turner explores the real-life application of the Radical Remission principles and the people who have chosen to take this journey.",Unknown,Unknown,,Unknown,,Advanced Only,1,0,0,radical hope: 10 key healing factors from exceptional survivors of cancer & other diseases,kelly a. turner phd,0-50
Intimations: Six Essays,Zadie Smith,4.7,4.7,32.0,3.49650756146648,615.0,Brought to you by Penguin.,Biographies of Authors | Women Biographies | Essays (Books),",#4,459 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#15 in Biographies of Authors,#26 in Women Biographies,#1,042 in Essays (Books)",4459.0,1 hour and 51 minutes,111.0,Advanced Only,1,1,1,intimations: six essays,zadie smith,0-50
"The Animal Shelter Mystery: The Boxcar Children Mysteries, Book 22",Gertrude Chandler Warner,4.7,4.7,32.0,3.49650756146648,284.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,"the animal shelter mystery: the boxcar children mysteries, book 22",gertrude chandler warner,0-50
"The Making of Hero: Four Brothers, Two Wheels & a Revolution That Shaped India",Sunil K. Munjal,4.7,4.7,32.0,3.49650756146648,668.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,"the making of hero: four brothers, two wheels & a revolution that shaped india",sunil k. munjal,0-50
Leading at a Higher Level,Stow Lovejoy,4.7,4.7,30.0,3.4339872044851463,836.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,leading at a higher level,stow lovejoy,0-50
Maximum Influence: 2nd Edition: The 12 Universal Laws of Power Persuasion,Kurt W Mortensen,4.7,4.7,30.0,3.4339872044851463,820.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,maximum influence: 2nd edition: the 12 universal laws of power persuasion,kurt w mortensen,0-50
The Jungle Book: The Mowgli Stories,Rudyard Kipling,4.7,4.7,29.0,3.4011973816621555,349.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,the jungle book: the mowgli stories,rudyard kipling,0-50
"The Science Fiction Hall of Fame, Vol. 2-B",Ben Bova,4.7,4.7,29.0,3.4011973816621555,1054.0,Eleven essential classics in one volume,Unknown,Unknown,,Unknown,,Both,1,0,0,"the science fiction hall of fame, vol. 2-b",ben bova,0-50
Pratham Aur Antim Mukti [First and Last Redemption],J. Krishnamurti,4.7,4.7,26.0,3.295836866004329,836.0,"Jiddu Krishnamurti was a famous Indian philosopher, speaker and writer. He explored ideas like the nature of mind, meditation, inquiry, psychological revolution, human relationships and bringing about a radical change in society in his lectures and writings, emphasising that such a revolution cannot be brought about by any external entity, be it religious, political or social. His most famous books are The First and Last Freedom, The Only Revolution, and Krishnamurti's Notebook.",Philosophy | Textbooks & Study Guides,",#4,466 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#188 in Philosophy (Audible Audiobooks & Originals),#51,844 in Textbooks & Study Guides",4466.0,13 hours and 57 minutes,837.0,Both,1,1,1,pratham aur antim mukti [first and last redemption],j. krishnamurti,0-50
Desert Fox: The Storied Military Career of Erwin Rommel,Samuel W. Mitcham Jr.,4.7,4.7,25.0,3.258096538021482,703.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,desert fox: the storied military career of erwin rommel,samuel w. mitcham jr.,0-50
"Complaint Free Relationships: How to Positively Transform Your Personal, Work, and Love Relationships",Will Bowen,4.7,4.7,24.0,3.218875824868201,754.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,"complaint free relationships: how to positively transform your personal, work, and love relationships",will bowen,0-50
Uncharted: How to Map the Future,Margaret Hefferman,4.7,4.7,24.0,3.218875824868201,1063.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,uncharted: how to map the future,margaret hefferman,0-50
Attitude Is Everything: Ten Rules for Staying Positive,Vicki Hitzges,4.7,4.7,23.0,3.1780538303479458,375.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,attitude is everything: ten rules for staying positive,vicki hitzges,0-50
The Forgotten Few: The Indian Air Force in World War II,K.S. Nair,4.7,4.7,23.0,3.1780538303479458,836.0,"The Forgotten Few is the first contemporary attempt to produce a historical narrative of the nation's contribution, specifically to the air force component, of World War II, which was an important part of our journey to Independence and national identity. Close to three million Indians served in uniform during the war. And yet, the Indian chapter of this globe-straddling story, reverberations of which still echo today, are barely known - a symptom of which was the recent controversy over the absence of Indians in the Christopher Nolan film Dunkirk.",Unknown,Unknown,,Unknown,,Both,1,0,0,the forgotten few: the indian air force in world war ii,k.s. nair,0-50
Entrepreneurial Leap: Do You Have What it Takes to Become an Entrepreneur?,Gino Wickman,4.7,4.7,22.0,3.1354942159291497,586.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,entrepreneurial leap: do you have what it takes to become an entrepreneur?,gino wickman,0-50
"Assured: Discover Grace, Let Go of Guilt, and Rest in Your Salvation",Greg Gilbert,4.7,4.7,21.0,3.091042453358316,702.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,"assured: discover grace, let go of guilt, and rest in your salvation",greg gilbert,0-50
Is Your Thinking Keeping You Poor?: 50 Ways the Rich Think Differently,Douglas Kruger,4.7,4.7,21.0,3.091042453358316,352.0,"""Thinking like a poor person will keep you poor. Thinking like a wealthy person will make you wealthy. I would like to show you exactly what the differences between the two ways of thinking are and how you can use them in your favour."" (Douglas Kruger)",Money Management | Personal Success in Business | Personal Success,",#2,259 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#10 in Money Management,#213 in Personal Success in Business,#328 in Personal Success",2259.0,6 hours and 46 minutes,406.0,Advanced Only,1,1,1,is your thinking keeping you poor?: 50 ways the rich think differently,douglas kruger,0-50
The Power of Silence: The Riches That Lie Within,Graham Turner,4.7,4.7,21.0,3.091042453358316,668.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,the power of silence: the riches that lie within,graham turner,0-50
HBR's 10 Must Reads for CEOs,Harvard Business Review,4.7,4.7,19.0,2.995732273553991,586.0,"As CEO, you set the vision, the strategy, and the tone of your organization.",Organisational Behaviour | Forecasting & Strategic Planning | Leadership,",#2,028 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#26 in Organisational Behaviour,#46 in Forecasting & Strategic Planning,#98 in Leadership",2028.0,8 hours and 43 minutes,523.0,Both,1,1,1,hbr's 10 must reads for ceos,harvard business review,0-50
The Totality of Possibilities: Set Yourself Free to Create the Lifestyle You Really Want!,Louise L. Hay,4.7,4.7,19.0,2.995732273553991,257.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,the totality of possibilities: set yourself free to create the lifestyle you really want!,louise l. hay,0-50
Through the Dark Wood: Finding Meaning in the Second Half of Life,James Hollis PhD,4.7,4.7,19.0,2.995732273553991,1148.0,Unknown,Unknown,Unknown,,Unknown,,Advanced Only,0,0,0,through the dark wood: finding meaning in the second half of life,james hollis phd,0-50
A Princess’s Quest for Knowledge,Soumya Torvi,4.7,4.7,18.0,2.9444389791664403,233.0,Unknown,Unknown,Unknown,,Unknown,,Catalog Only,0,0,0,a princess’s quest for knowledge,soumya torvi,0-50
The Radiance of a Thousand Suns,Manreet Sodhi Someshwar,4.7,4.7,18.0,2.9444389791664403,836.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,the radiance of a thousand suns,manreet sodhi someshwar,0-50
Tief im Herzen: Quinn-Saga 1,Nora Roberts,4.7,4.7,18.0,2.9444389791664403,334.0,Unknown,Unknown,Unknown,,Unknown,,Both,0,0,0,tief im herzen: quinn-saga 1,nora roberts,0-50
