Book Name,Author,Description,Listening Time,Ranks and Genre,Number of Reviews,Rating,Price
33 Strategies of War,Robert Greene,"33 Strategies of War is a comprehensive guide to the subtle social game of everyday life, informed by the most ingenious and effective military principles in war. It's the I-Ching of conflict, the contemporary companion to Sun Tzu's The Art of War, and is abundantly illustrated with examples from history, including the folly and genius of everyone from Napoleon to Margaret Thatcher, Hannibal to Ulysses S. Grant, movie moguls to samurai swordsmen.",27 hours and 30 minutes,",#718 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#14 in Communication & Social Skills,#91 in Personal Success in Business,#1,647 in Business & Economics",4.0,4.2,820.0
365 Jataka Tales,Om Books International,"The 365 series presents a variety of stories from Indian mythology, the Bible, the Jatakas, the Panchatantra, bedtime stories, folklore, and much more. From powerful sages to wicked demons, from arrogant kings to beautiful goddesses, this series showcases the most enchanting and gripping stories from all over the world.",8 hours and 31 minutes,",#3,776 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#4 in Literary Criticism for Children,#38 in Fairy Tales, Folk Tales & Myths for Children,#1,054 in Children's Traditional Stories (Books)",37.0,4.0,668.0
365 Panchatantra Stories,Adil Mukesh,The stories of Panchatantra are ancient Indian fables that were written in Sanskrit and Pali languages. The central characters in these fascinating fables are many times animals and birds. They show their most identifying characteristics in the various stories and impart valuable life lessons and morals.,7 hours and 29 minutes,",#88 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#2 in Literary Criticism for Children,#2 in Fairy Tales, Folk Tales & Myths for Children,#57 in Children's Traditional Stories (Books)",424.0,4.2,668.0
365 Stories from Around the World,Om Books International,"The 365 Stories from Around the World is a treasure trove of stories from around the world - right from the barren sands of Arabia to the icy cold polar regions of Antarctica and different eras. Through this book, a child can travel and know about the culture and history of different places, all by sitting at one place!",8 hours and 13 minutes,",#2,083 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#3 in Literary Criticism for Children,#23 in Fairy Tales, Folk Tales & Myths for Children,#585 in Children's Traditional Stories (Books)",22.0,4.0,668.0
365 Tales of Indian Mythology,Om Books International,"One treat a day! A 23-volume series of 365 treats: stories, facts, questions and answers, and science experiments for young listeners.",10 hours and 1 minute,",#81 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Literary Criticism for Children,#53 in Children's Traditional Stories (Books)",238.0,4.4,836.0
39 Clues: Cahills vs. Vespers: Book 1: The Medusa Plot,Gordon Korman,,Unknown,Unknown,131.0,4.4,586.0
4.50 from Paddington (Dramatised),Agatha Christie,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",-1,-1,537.0,4.4,342.0
40 Days to Positive Change: Daily Support to Create a New Habit,Kelly McGonigal PhD,,Unknown,Unknown,238.0,0.0,1149.0
44 Scotland Street: Series 1-3: Full-cast radio adaptations of the much-loved novels,Alexander McCall-Smith,Alexander McCall Smith's much-loved series of novels is the basis of this full-cast dramatisation about the inhabitants of an Edinburgh tenement building.,3 hours and 24 minutes,",#2,704 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#33 in Contemporary Fiction (Audible Audiobooks & Originals),#4,430 in Crime, Thriller & Mystery (Books),#5,124 in Contemporary Fiction (Books)",8.0,3.9,478.0
48 Laws of Power,Robert Greene,"Amoral, cunning, ruthless, and instructive, this piercing work distills 3,000 years of the history of power into 48 well-explicated laws. This bold volume outlines the laws of power in their unvarnished essence, synthesizing the philosophies of Machiavelli, Sun Tzu, Carl von Clausewitz, and other infamous strategists. The 48 Laws of Power will fascinate any listener interested in gaining, observing, or defending against ultimate control.",23 hours and 6 minutes,",#140 in Audible Audiobooks & Originals (See Top 100 in Audible Audiobooks & Originals),#1 in Ethics & Morality Philosophy,#2 in Political Science History & Theory,#23 in Political Theory",2121.0,4.4,820.0
